session_id,timestamp,window_name,region,cdn,device,startup_time,buffer_duration,playback_duration,play_success
prior_year-east-cdna-01,2025-09-01 11:00:00,prior_year,华东,CDN-A,web,478.0,0.43,530.0,true
prior_year-east-cdna-02,2025-09-01 11:02:00,prior_year,华东,CDN-A,tv,496.0,0.53,560.0,true
prior_year-east-cdna-03,2025-09-01 11:04:00,prior_year,华东,CDN-A,mobile,514.0,0.63,590.0,true
prior_year-east-cdna-04,2025-09-01 11:06:00,prior_year,华东,CDN-A,web,532.0,0.33,620.0,true
prior_year-east-cdna-05,2025-09-01 11:08:00,prior_year,华东,CDN-A,tv,460.0,0.43,650.0,true
prior_year-east-cdna-06,2025-09-01 11:10:00,prior_year,华东,CDN-A,mobile,478.0,0.53,500.0,true
prior_year-east-cdna-07,2025-09-01 11:12:00,prior_year,华东,CDN-A,web,496.0,0.63,530.0,true
prior_year-east-cdna-08,2025-09-01 11:14:00,prior_year,华东,CDN-A,tv,514.0,0.33,560.0,true
prior_year-east-cdna-09,2025-09-01 11:16:00,prior_year,华东,CDN-A,mobile,532.0,0.43,590.0,true
prior_year-east-cdna-10,2025-09-01 11:18:00,prior_year,华东,CDN-A,web,460.0,0.53,620.0,true
prior_year-east-cdna-11,2025-09-01 11:20:00,prior_year,华东,CDN-A,tv,478.0,0.63,650.0,true
prior_year-east-cdna-12,2025-09-01 11:22:00,prior_year,华东,CDN-A,mobile,496.0,0.33,500.0,true
prior_year-east-cdna-13,2025-09-01 11:24:00,prior_year,华东,CDN-A,web,514.0,0.43,530.0,true
prior_year-east-cdna-14,2025-09-01 11:26:00,prior_year,华东,CDN-A,tv,532.0,0.53,560.0,true
prior_year-east-cdna-15,2025-09-01 11:28:00,prior_year,华东,CDN-A,mobile,460.0,0.63,590.0,true
prior_year-east-cdna-16,2025-09-01 11:30:00,prior_year,华东,CDN-A,web,478.0,0.33,620.0,true
prior_year-east-cdna-17,2025-09-01 11:32:00,prior_year,华东,CDN-A,tv,496.0,0.43,650.0,true
prior_year-east-cdna-18,2025-09-01 11:34:00,prior_year,华东,CDN-A,mobile,514.0,0.53,500.0,true
prior_year-east-cdna-19,2025-09-01 11:36:00,prior_year,华东,CDN-A,web,532.0,0.63,530.0,true
prior_year-east-cdna-20,2025-09-01 11:38:00,prior_year,华东,CDN-A,tv,760.0,3.33,560.0,false
prior_year-east-cdnb-01,2025-09-01 11:00:01,prior_year,华东,CDN-B,web,503.0,0.48,538.0,true
prior_year-east-cdnb-02,2025-09-01 11:02:01,prior_year,华东,CDN-B,tv,521.0,0.58,568.0,true
prior_year-east-cdnb-03,2025-09-01 11:04:01,prior_year,华东,CDN-B,mobile,539.0,0.68,598.0,true
prior_year-east-cdnb-04,2025-09-01 11:06:01,prior_year,华东,CDN-B,web,557.0,0.38,628.0,true
prior_year-east-cdnb-05,2025-09-01 11:08:01,prior_year,华东,CDN-B,tv,485.0,0.48,658.0,true
prior_year-east-cdnb-06,2025-09-01 11:10:01,prior_year,华东,CDN-B,mobile,503.0,0.58,508.0,true
prior_year-east-cdnb-07,2025-09-01 11:12:01,prior_year,华东,CDN-B,web,521.0,0.68,538.0,true
prior_year-east-cdnb-08,2025-09-01 11:14:01,prior_year,华东,CDN-B,tv,539.0,0.38,568.0,true
prior_year-east-cdnb-09,2025-09-01 11:16:01,prior_year,华东,CDN-B,mobile,557.0,0.48,598.0,true
prior_year-east-cdnb-10,2025-09-01 11:18:01,prior_year,华东,CDN-B,web,485.0,0.58,628.0,true
prior_year-east-cdnb-11,2025-09-01 11:20:01,prior_year,华东,CDN-B,tv,503.0,0.68,658.0,true
prior_year-east-cdnb-12,2025-09-01 11:22:01,prior_year,华东,CDN-B,mobile,521.0,0.38,508.0,true
prior_year-east-cdnb-13,2025-09-01 11:24:01,prior_year,华东,CDN-B,web,539.0,0.48,538.0,true
prior_year-east-cdnb-14,2025-09-01 11:26:01,prior_year,华东,CDN-B,tv,557.0,0.58,568.0,true
prior_year-east-cdnb-15,2025-09-01 11:28:01,prior_year,华东,CDN-B,mobile,485.0,0.68,598.0,true
prior_year-east-cdnb-16,2025-09-01 11:30:01,prior_year,华东,CDN-B,web,503.0,0.38,628.0,true
prior_year-east-cdnb-17,2025-09-01 11:32:01,prior_year,华东,CDN-B,tv,521.0,0.48,658.0,true
prior_year-east-cdnb-18,2025-09-01 11:34:01,prior_year,华东,CDN-B,mobile,539.0,0.58,508.0,true
prior_year-east-cdnb-19,2025-09-01 11:36:01,prior_year,华东,CDN-B,web,857.0,3.68,538.0,false
prior_year-east-cdnb-20,2025-09-01 11:38:01,prior_year,华东,CDN-B,tv,785.0,3.38,568.0,false
prior_year-east-cdnc-01,2025-09-01 11:00:02,prior_year,华东,CDN-C,web,528.0,0.53,546.0,true
prior_year-east-cdnc-02,2025-09-01 11:02:02,prior_year,华东,CDN-C,tv,546.0,0.63,576.0,true
